model,n_attempts,n_challenges,n_runs,naive_acc
anthropic/claude-3-7-sonnet-20250219,7304,40,54,0.28778751369112815
anthropic/claude-opus-4-20250514,400,40,1,0.3675
gemma/gemma-3-27b-it,5200,40,13,0.08961538461538461
mistralazure/Mistral-Large-2411,1600,40,4,0.095625
openai/gpt-4o-2024-08-06,1227,40,8,0.13202933985330073
openai/gpt-5,400,40,1,0.53
openai/o1,985,40,2,0.3248730964467005
openai/o1-2024-12-17,520,40,29,0.2692307692307692
openai/o3,400,40,1,0.4675
openai/o3-mini,1641,40,14,0.2230347349177331
