model,sigma_challenge_mean,sigma_challenge_hdi_3%,sigma_challenge_hdi_97%,icc_latent_mean,rho_obs_mean,rho_obs_hdi_3%,rho_obs_hdi_97%,frac_p_lt_05,frac_p_lt_10,frac_coinflip_20_80,frac_p_gt_90
anthropic/claude-3-7-sonnet-20250219,9.098185539245605,6.094066619873047,12.59019660949707,0.957648754119873,0.8661995530128479,0.8515729308128357,0.8802741169929504,0.65,0.65,0.1,0.225
anthropic/claude-opus-4-20250514,7.4048991203308105,4.505916118621826,10.66796588897705,0.9354259371757507,0.8169165253639221,0.7611199617385864,0.8672943115234375,0.5,0.5,0.1,0.25
gemma/gemma-3-27b-it,5.288147926330566,3.365483283996582,7.2568559646606445,0.8850382566452026,0.6288373470306396,0.59761643409729,0.6615961790084839,0.825,0.85,0.1,0.025
mistralazure/Mistral-Large-2411,4.951659202575684,3.161494016647339,7.098672389984131,0.8695672750473022,0.6687784790992737,0.6169044375419617,0.7195406556129456,0.8,0.85,0.075,0.025
openai/gpt-4o-2024-08-06,5.362618446350098,3.372817039489746,7.41702127456665,0.886936366558075,0.6932644844055176,0.6509204506874084,0.733640193939209,0.8,0.8,0.125,0.075
openai/gpt-5,5.725049018859863,3.5571231842041016,7.986762523651123,0.8988389372825623,0.7550899982452393,0.6932604312896729,0.810117244720459,0.275,0.275,0.175,0.35
openai/o1,7.917259216308594,4.880939483642578,11.064165115356445,0.9440577030181885,0.8234068751335144,0.7897604703903198,0.8550657629966736,0.55,0.6,0.1,0.225
openai/o1-2024-12-17,5.801194667816162,3.5369250774383545,8.322360038757324,0.899765133857727,0.7277645468711853,0.6622353792190552,0.7906106114387512,0.625,0.65,0.175,0.125
openai/o3,4.885751724243164,3.131765842437744,6.8097381591796875,0.8672369122505188,0.6762576699256897,0.6194637417793274,0.7374017834663391,0.325,0.325,0.275,0.25
openai/o3-mini,7.700920581817627,4.911139488220215,10.597408294677734,0.9416964650154114,0.8684679269790649,0.8383752703666687,0.8941184282302856,0.75,0.75,0.05,0.15
