curve,k,c,se_median,se_q3,se_q97
A_superpopulation,1,400.0,0.021934918164721227,0.02039265426167071,0.023224379004929567
A_superpopulation,2,200.0,0.029262441006429607,0.0268820356120719,0.03116663539938529
A_superpopulation,4,100.0,0.040058546647468427,0.03652610769876782,0.042815274700442295
A_superpopulation,5,80.0,0.0444674469897246,0.04051973320180677,0.047584791096787614
A_superpopulation,8,50.0,0.055682673409417176,0.050628605475257875,0.05967542694578517
A_superpopulation,10,40.0,0.062041750881423344,0.05631524053319623,0.06650341379877103
A_superpopulation,16,25.0,0.07807547099625518,0.07070474275329654,0.08370739129288617
A_superpopulation,20,20.0,0.08713436980082165,0.07887252565116885,0.09346159564970037
A_superpopulation,25,16.0,0.09727779738272563,0.08802360833801709,0.1043801131929684
A_superpopulation,40,10.0,0.1227733062816812,0.11104146625285091,0.13181662438897876
A_superpopulation,50,8.0,0.13716215470271925,0.12403602672814915,0.14729527735632356
A_superpopulation,80,5.0,0.17331189911233807,0.15668159427847006,0.18615803490999414
A_superpopulation,100,4.0,0.19370201458988617,0.17509591470332164,0.2080771523677901
A_superpopulation,200,2.0,0.27374760343099214,0.24739889404975124,0.2941114716598008
B_fixed_benchmark_40,10,40.0,0.007531402708974507,0.007054896205824825,0.007995456585061317
B_fixed_benchmark_40,16,25.0,0.053276936275922615,0.052802119039179536,0.05369706141015179
B_fixed_benchmark_40,20,20.0,0.0685099402892499,0.0678785566933531,0.06905072031784723
B_fixed_benchmark_40,25,16.0,0.08373740860128115,0.08296386072605376,0.08439549006351692
B_fixed_benchmark_40,40,10.0,0.11818711603708773,0.11708293250697764,0.119125360035475
B_fixed_benchmark_40,50,8.0,0.13640175476669214,0.1351242588771002,0.13748581735604595
B_fixed_benchmark_40,80,5.0,0.18032338650477858,0.17862873402842946,0.1817587891036222
B_fixed_benchmark_40,100,4.0,0.20443011437514133,0.20250431471021635,0.20605808064584327
B_fixed_benchmark_40,200,2.0,0.2969181574646752,0.29412048849829575,0.2992808116961574
