model,ability_logit_mean,ability_logit_hdi_3%,ability_logit_hdi_97%,bench_acc_mean,bench_acc_hdi_3%,bench_acc_hdi_97%,naive_acc,n_attempts,naive_lo,naive_hi,n_runs
anthropic/claude-3-7-sonnet-20250219,-2.2959911823272705,-2.74899959564209,-1.838038682937622,0.3239423334598541,0.3078463077545166,0.3405638635158539,0.28778751369112815,7304,0.27782421846838196,0.29775080891387434,54
anthropic/claude-opus-4-20250514,-1.086507797241211,-2.9043283462524414,0.6477252244949341,0.3875483274459839,0.297101229429245,0.49244022369384766,0.3675,400,0.3221610396688455,0.41283896033115447,1
gemma/gemma-3-27b-it,-8.012809753417969,-8.719443321228027,-7.376506805419922,0.09488514810800552,0.07720514386892319,0.11199718713760376,0.08961538461538461,5200,0.08216558337813784,0.09706518585263138,13
mistralazure/Mistral-Large-2411,-7.446290969848633,-8.451415061950684,-6.371944904327393,0.11329904943704605,0.0809037908911705,0.14474229514598846,0.095625,1600,0.08179753324114125,0.10945246675885875,4
openai/gpt-4o-2024-08-06,-6.707306861877441,-7.522732734680176,-5.839326858520508,0.13790087401866913,0.11240535974502563,0.164840430021286,0.13202933985330073,1227,0.11385293099214717,0.1502057487144543,8
openai/gpt-5,0.9163650274276733,-0.7490053176879883,2.6689858436584473,0.5149747133255005,0.39950108528137207,0.6431728601455688,0.53,400,0.4830647123098196,0.5769352876901804,1
openai/o1,-2.165363311767578,-3.531019926071167,-0.8340387344360352,0.330779105424881,0.2628801763057709,0.392460435628891,0.3248730964467005,985,0.2968075125399274,0.3529386803534736,2
openai/o1-2024-12-17,-3.828514814376831,-4.429740905761719,-3.2198288440704346,0.252492755651474,0.2282497137784958,0.2759741246700287,0.2692307692307692,520,0.2326465815114998,0.30581495695003863,29
openai/o3,0.21114501357078552,-1.4570950269699097,2.0524351596832275,0.46653956174850464,0.3541744649410248,0.5824589729309082,0.4675,400,0.42057943488927274,0.5144205651107273,1
openai/o3-mini,-4.504489421844482,-5.262940406799316,-3.836318016052246,0.2225799560546875,0.19540126621723175,0.25006699562072754,0.2230347349177331,1641,0.20370724837208093,0.24236222146338526,14
