,anthropic/claude-3-7-sonnet-20250219,anthropic/claude-opus-4-20250514,gemma/gemma-3-27b-it,mistralazure/Mistral-Large-2411,openai/gpt-4o-2024-08-06,openai/gpt-5,openai/o1,openai/o1-2024-12-17,openai/o3,openai/o3-mini
anthropic/claude-3-7-sonnet-20250219,0.0,0.10025,1.0,1.0,1.0,0.000125,0.4315,1.0,0.005375,1.0
anthropic/claude-opus-4-20250514,0.89975,0.0,1.0,1.0,1.0,0.060125,0.822625,0.997,0.15575,0.99925
gemma/gemma-3-27b-it,0.0,0.0,0.0,0.167625,0.004125,0.0,0.0,0.0,0.0,0.0
mistralazure/Mistral-Large-2411,0.0,0.0,0.832375,0.0,0.128625,0.0,0.0,0.0,0.0,0.0
openai/gpt-4o-2024-08-06,0.0,0.0,0.995875,0.871375,0.0,0.0,0.0,0.0,0.0,0.0
openai/gpt-5,0.999875,0.939875,1.0,1.0,1.0,0.0,0.996,1.0,0.705375,1.0
openai/o1,0.5685,0.177375,1.0,1.0,1.0,0.004,0.0,0.9845,0.01975,0.999125
openai/o1-2024-12-17,0.0,0.003,1.0,1.0,1.0,0.0,0.0155,0.0,0.000125,0.93925
openai/o3,0.994625,0.84425,1.0,1.0,1.0,0.294625,0.98025,0.999875,0.0,1.0
openai/o3-mini,0.0,0.00075,1.0,1.0,1.0,0.0,0.000875,0.06075,0.0,0.0
