param,true,post_mean,hdi_3%,hdi_97%,in_hdi
challenge_only/mu_panel,-0.8596699078386035,-0.8575038909912109,-1.3629531860351562,-0.36504364013671875,True
challenge_only/sigma_challenge_realized,1.7434328815200903,1.4933265447616577,0.9922498464584351,2.0101940631866455,True
challenge_only/effects_corr,,0.8717050820488568,,,True
challenge_only/effects_94hdi_coverage,0.94,0.85,,,True
crossed/mu_panel_rep0,-0.8938619327582711,-0.846724271774292,-1.0880736112594604,-0.5960977673530579,True
crossed/sigma_challenge_realized_rep0,2.362632814617717,2.601560115814209,2.038532257080078,3.217665910720825,True
crossed/sigma_run_realized_rep0,0.400960414108562,0.460228830575943,0.3251124918460846,0.6123007535934448,True
crossed/mu_panel_rep1,-0.421353663808832,-0.22984465956687927,-0.4303129315376282,-0.042718153446912766,True
crossed/sigma_challenge_realized_rep1,2.293865736923304,2.3745920658111572,1.8500956296920776,2.9104385375976562,True
crossed/sigma_run_realized_rep1,0.42771171777531064,0.37477242946624756,0.2532157599925995,0.5052939057350159,True
crossed/mu_panel_rep2,-0.9906863895304615,-0.9174288511276245,-1.115458607673645,-0.7074302434921265,True
crossed/sigma_challenge_realized_rep2,2.3204667767805427,2.469780683517456,1.9518264532089233,3.042994499206543,True
crossed/sigma_run_realized_rep2,0.3853572483115673,0.3621545433998108,0.25816822052001953,0.46830230951309204,True
joint/ability[anthropic/claude-3-7-sonnet-20250219],-0.6037215299794625,-0.3527553379535675,-0.5395264029502869,-0.16763922572135925,False
joint/ability[anthropic/claude-opus-4-20250514],-0.2877399815138879,-0.38593658804893494,-1.1969887018203735,0.4142286479473114,True
joint/ability[gemma/gemma-3-27b-it],-1.7754547371881895,-1.62467360496521,-1.882339358329773,-1.370471715927124,True
joint/ability[mistralazure/Mistral-Large-2411],-1.5169757757797062,-1.395703911781311,-1.8338648080825806,-0.9890764355659485,True
joint/ability[openai/gpt-4o-2024-08-06],-1.2647521110799342,-1.126604437828064,-1.5139611959457397,-0.740057110786438,True
joint/ability[openai/gpt-5],0.7605932096612538,0.6947483420372009,-0.1088360846042633,1.4773354530334473,True
joint/ability[openai/o1],0.08101509772025717,0.2007412165403366,-0.3557356297969818,0.8262947201728821,True
joint/ability[openai/o1-2024-12-17],-0.5242160831449363,-0.402823805809021,-0.7065837383270264,-0.09148143976926804,True
joint/ability[openai/o3],0.6350015237533498,0.806147575378418,0.02439550682902336,1.6195871829986572,True
joint/ability[openai/o3-mini],-1.0141794761492464,-0.7235555648803711,-1.0149827003479004,-0.42808863520622253,True
joint/sigma_challenge_realized,3.0452782011533417,2.956219434738159,2.3177475929260254,3.655428409576416,True
joint/sigma_run_realized,0.43041624218050356,0.41472265124320984,0.32915258407592773,0.5032972693443298,True
joint/rank_spearman,,0.9515151515151514,,,True
joint/big_gap_pairs_recovered,1.0,0.96875,,,True
joint/big_gap_pairs_confidently_wrong,0.0,0.0,,,True
