run,model,start,variant
162200,gemma/gemma-3-27b-it,2025-06-09 12:57:26+00:00,{}|intercode_agent
162751,gemma/gemma-3-27b-it,2025-06-11 22:54:46+00:00,{}|intercode_agent
162829,gemma/gemma-3-27b-it,2025-06-12 17:23:57+00:00,{}|intercode_agent
162840,gemma/gemma-3-27b-it,2025-06-13 09:40:18+00:00,{}|intercode_agent
163094,gemma/gemma-3-27b-it,2025-06-05 02:49:21+00:00,{}|intercode_agent
163893,mistralazure/Mistral-Large-2411-CAST,2025-06-04 16:52:57+00:00,{}|intercode_agent
164920,mistralazure/Mistral-Large-2411,2025-06-10 16:00:50+00:00,{}|intercode_agent
166756,mistralazure/Mistral-Large-2411-CAST,2025-06-09 19:39:17+00:00,{}|intercode_agent
167319,mistralazure/Mistral-Large-2411-CAST,2025-06-12 12:54:20+00:00,{}|intercode_agent
281917,azureai/Mistral-Large-2411,2025-06-15 18:28:59+00:00,{}|intercode_agent
283190,mistralazure/Mistral-Large-2411,2025-06-17 08:30:58+00:00,{}|intercode_agent
284934,azureai/Mistral-Large-2411,2025-06-23 07:24:41+00:00,{}|intercode_agent
