dataset,component,var_mean,var_hdi3,var_hdi97,share_mean,share_hdi3,share_hdi97,sigma_mean,sigma_hdi3,sigma_hdi97
d1,model,0.19202913,9.57681578483971e-09,0.6009548306465149,0.01377683,6.904541383079277e-10,0.043323662132024765,0.5544500946998596,0.00010171366739086807,1.3642241954803467
d1,challenge,9.260433,7.53662109375,11.115705490112305,0.67392015,0.6264458298683167,0.7203609347343445,3.0509722232818604,2.537625312805176,3.5873024463653564
d1,model x challenge,0.5339111,0.3883295953273773,0.6908663511276245,0.03905431,0.028884395956993103,0.051341164857149124,0.7312695980072021,0.6174923777580261,0.8520716428756714
d1,run,0.43824446,0.2715803384780884,0.627284586429596,0.03204626,0.018891042098402977,0.04555940255522728,0.704429030418396,0.4020358920097351,1.0128883123397827
d1,epoch residual,3.2898679,3.289868116378784,3.289868116378784,0.24120243,0.20724833011627197,0.2737460136413574,,,
d1x,model,0.1456115,5.722207419012193e-08,0.44651517271995544,0.010234511,4.010106913199252e-09,0.03100229799747467,0.4466294050216675,0.00027969805523753166,1.0636968612670898
d1x,challenge,9.531246,7.751042366027832,11.32243824005127,0.67853093,0.6310702562332153,0.7234257459640503,3.0912833213806152,2.5469141006469727,3.6265876293182373
d1x,model x challenge,0.6424355,0.5042420029640198,0.7780539393424988,0.04600643,0.035074204206466675,0.05657011270523071,0.8019374012947083,0.7036976218223572,0.9068930745124817
d1x,run,0.26315516,0.1609712392091751,0.37059125304222107,0.018864501,0.011531620286405087,0.027303103357553482,0.5314037203788757,0.35932621359825134,0.7149161696434021
d1x,scaffold variant,0.14763096,5.864390084653337e-10,0.4377487897872925,0.010460919,4.474839943036102e-11,0.030793003737926483,0.37048080563545227,2.1995150746079162e-05,0.7950466871261597
d1x,epoch residual,3.2898679,3.289868116378784,3.289868116378784,0.23590271,0.20396113395690918,0.2670423090457916,,,
d2_frontier,model,0.52175075,0.13857178390026093,0.9295384287834167,0.058546823,0.017876291647553444,0.10363700240850449,0.9297847747802734,0.30431026220321655,1.773023009300232
d2_frontier,challenge,4.333136,2.6015005111694336,6.416977405548096,0.47813687,0.3745292127132416,0.5964893698692322,2.1573262214660645,1.3287054300308228,3.0856800079345703
d2_frontier,model x challenge,0.6767073,0.48538219928741455,0.8916668891906738,0.076659225,0.050150662660598755,0.10372432321310043,0.8266618847846985,0.6560474634170532,1.0109260082244873
d2_frontier,run,0.11244218,0.04850013554096222,0.19418630003929138,0.012739805,0.00511346198618412,0.02210068330168724,0.34716394543647766,0.2020479142665863,0.5093091130256653
d2_frontier,epoch residual,3.2898679,3.289868116378784,3.289868116378784,0.3739173,0.28767135739326477,0.45173710584640503,,,
