class,benchmark,model,n_rows,n_items,n_runs,n_limit_kept,acc,first,last,n_input,excl_real_error,excl_operator_limit
cy_hard,cybench,anthropic/claude-opus-4-20250514,400,40,1,215,0.3675,2026-02-01 23:55:07+00:00,2026-02-01 23:55:07+00:00,1600,0,0
cy_hard,cybench,openai/gpt-5,400,40,1,164,0.53,2026-02-01 11:40:02+00:00,2026-02-01 11:40:02+00:00,1600,0,0
cy_hard,cybench,openai/o1,400,40,1,1,0.2825,2026-02-02 08:42:58+00:00,2026-02-02 08:42:58+00:00,1600,0,0
cy_hard,cybench,openai/o3,400,40,1,175,0.4675,2026-01-31 23:25:13+00:00,2026-01-31 23:25:13+00:00,1600,0,0
cy_easy,cybench,anthropic/claude-opus-4-1-20250805,848,2,848,200,0.7642,2025-09-17 20:12:10+00:00,2025-09-19 18:39:39+00:00,6306,0,0
cy_easy,cybench,anthropic/claude-sonnet-4-20250514,904,2,904,263,0.7091,2025-09-17 20:12:11+00:00,2025-09-19 18:39:53+00:00,6306,0,0
cy_easy,cybench,openai/gpt-5,1405,2,1405,236,0.832,2025-09-17 20:12:12+00:00,2025-09-20 21:59:43+00:00,6306,0,0
cy_easy,cybench,openai/o3,2075,2,2075,808,0.6333,2025-09-17 20:12:10+00:00,2025-09-20 22:06:24+00:00,6306,0,0
cy_easy,cybench,openai/o4-mini,1074,2,1074,385,0.6462,2025-09-17 20:12:10+00:00,2025-09-19 18:45:13+00:00,6306,0,0
gdm_main,gdm_intercode_ctf,anthropic/claude-opus-4-1-20250805,4744,14,4744,1290,0.7285,2025-09-17 22:01:40+00:00,2025-09-20 09:07:53+00:00,35814,0,0
gdm_main,gdm_intercode_ctf,anthropic/claude-sonnet-4-20250514,5581,14,5581,1921,0.6571,2025-09-17 22:01:40+00:00,2025-09-20 09:16:31+00:00,35814,0,0
gdm_main,gdm_intercode_ctf,openai/gpt-5,6545,14,6545,1228,0.8122,2025-09-17 22:01:40+00:00,2025-09-21 01:10:35+00:00,35814,0,0
gdm_main,gdm_intercode_ctf,openai/o3,11816,14,11816,5973,0.5235,2025-09-17 21:56:53+00:00,2025-09-21 01:50:04+00:00,35814,0,0
gdm_main,gdm_intercode_ctf,openai/o4-mini,7128,14,7128,2616,0.6331,2025-09-17 22:01:40+00:00,2025-09-20 09:28:49+00:00,35814,0,0
