design,sim,true,mean,hdi_3,hdi_97,p_gt_0,p_gt_0.5,bias,in_94_hdi
A: beta1-beta0,0,1.0,0.9068704843521118,0.5682997703552246,1.2300622463226318,1.0,0.99325,-0.09312951564788818,True
A: beta2-beta0,0,1.5,1.5562982559204102,1.2250280380249023,1.872384786605835,1.0,1.0,0.056298255920410156,True
A: beta3-beta0,0,2.5,2.5186209678649902,2.144502639770508,2.8517532348632812,1.0,1.0,0.018620967864990234,True
B: beta1-beta0,0,0.3999999999999999,0.5425254106521606,0.3248007297515869,0.7396848797798157,1.0,0.65425,0.14252541065216073,True
B: beta4-beta2,0,1.2,1.2559404373168945,1.0582940578460693,1.4670740365982056,1.0,1.0,0.055940437316894576,True
E: beta1-beta0,0,0.30000000000000004,0.3131043016910553,0.23459434509277344,0.39221668243408203,1.0,0.0,0.013104301691055253,True
E: beta2-beta3,0,1.2999999999999998,1.324344277381897,1.2380423545837402,1.406221866607666,1.0,1.0,0.02434427738189715,True
D: beta1-beta0,0,1.0,0.9189928770065308,0.49899470806121826,1.343332052230835,1.0,0.97275,-0.08100712299346924,True
D: beta2-beta0,0,1.5,1.298046588897705,0.8991466760635376,1.7426724433898926,1.0,0.999,-0.20195341110229492,True
D: beta3-beta0,0,2.5,2.453315019607544,1.961964726448059,2.8917603492736816,1.0,1.0,-0.046684980392456055,True
C: mu_delta,0,0.6,0.5665634870529175,0.044967349618673325,1.0393847227096558,0.97275,0.71625,-0.0334365129470825,True
C: delta_bench0,0,0.5,0.5266513824462891,0.33730658888816833,0.6972567439079285,1.0,0.62625,0.026651382446289062,True
C: delta_bench1,0,0.7,0.643381655216217,0.5489838719367981,0.730879008769989,1.0,0.99925,-0.056618344783782915,True
A: beta1-beta0,1,1.0,1.0454254150390625,0.7362042665481567,1.389082431793213,1.0,0.99875,0.0454254150390625,True
A: beta2-beta0,1,1.5,1.4445561170578003,1.1085964441299438,1.756967306137085,1.0,1.0,-0.05544388294219971,True
A: beta3-beta0,1,2.5,2.3484253883361816,1.9631210565567017,2.709237575531006,1.0,1.0,-0.15157461166381836,True
B: beta1-beta0,1,0.3999999999999999,0.4745461344718933,0.2255878448486328,0.7062551975250244,1.0,0.4135,0.0745461344718934,True
B: beta4-beta2,1,1.2,1.1438531875610352,0.9076447486877441,1.3833696842193604,1.0,1.0,-0.0561468124389648,True
E: beta1-beta0,1,0.30000000000000004,0.3011970818042755,0.22273379564285278,0.3891327679157257,1.0,0.0,0.0011970818042754683,True
E: beta2-beta3,1,1.2999999999999998,1.3487448692321777,1.2543063163757324,1.4304429292678833,1.0,1.0,0.04874486923217791,True
D: beta1-beta0,1,1.0,0.6237277984619141,0.2590523362159729,0.9475488066673279,0.99925,0.74625,-0.37627220153808594,False
D: beta2-beta0,1,1.5,1.5374611616134644,1.1869796514511108,1.9299471378326416,1.0,1.0,0.037461161613464355,True
D: beta3-beta0,1,2.5,2.5231385231018066,2.1343257427215576,2.9339866638183594,1.0,1.0,0.02313852310180664,True
C: mu_delta,1,0.6,0.5693134665489197,0.08886581659317017,0.9517198204994202,0.98125,0.73325,-0.0306865334510803,True
C: delta_bench0,1,0.5,0.5405147671699524,0.33294710516929626,0.736125648021698,1.0,0.65725,0.04051476716995239,True
C: delta_bench1,1,0.7,0.6569421291351318,0.5664516091346741,0.7518798112869263,1.0,0.99925,-0.04305787086486812,True
A: beta1-beta0,2,1.0,0.8331779837608337,0.4785587787628174,1.1897897720336914,1.0,0.95775,-0.16682201623916626,True
A: beta2-beta0,2,1.5,1.3065077066421509,0.9605051875114441,1.6638177633285522,1.0,1.0,-0.19349229335784912,True
A: beta3-beta0,2,2.5,2.408264636993408,2.010188102722168,2.792609930038452,1.0,1.0,-0.0917353630065918,True
B: beta1-beta0,2,0.3999999999999999,0.3280881941318512,0.0956413745880127,0.5687780380249023,0.996,0.085,-0.07191180586814871,True
B: beta4-beta2,2,1.2,1.236911416053772,1.0028893947601318,1.47450590133667,1.0,1.0,0.03691141605377202,True
E: beta1-beta0,2,0.30000000000000004,0.23808811604976654,0.16447943449020386,0.3158162832260132,1.0,0.0,-0.061911883950233504,True
E: beta2-beta3,2,1.2999999999999998,1.2830756902694702,1.2053638696670532,1.3729320764541626,1.0,1.0,-0.016924309730529608,True
D: beta1-beta0,2,1.0,1.0454238653182983,0.5887618064880371,1.4763716459274292,1.0,0.99275,0.04542386531829834,True
D: beta2-beta0,2,1.5,1.5932754278182983,1.145452857017517,2.0407025814056396,1.0,1.0,0.09327542781829834,True
D: beta3-beta0,2,2.5,2.515686273574829,2.0274715423583984,3.0151736736297607,1.0,1.0,0.0156862735748291,True
C: mu_delta,2,0.6,0.6288678050041199,0.12234063446521759,1.144366979598999,0.97375,0.80775,0.028867805004119895,True
C: delta_bench0,2,0.5,0.6031253933906555,0.4141063094139099,0.7738674283027649,1.0,0.8535,0.10312539339065552,True
C: delta_bench1,2,0.7,0.7002798318862915,0.6088876128196716,0.7913034558296204,1.0,1.0,0.0002798318862915483,True
A: beta1-beta0,3,1.0,1.2019951343536377,0.8715320825576782,1.544325590133667,1.0,1.0,0.2019951343536377,True
A: beta2-beta0,3,1.5,1.8092846870422363,1.4880387783050537,2.17388653755188,1.0,1.0,0.30928468704223633,True
A: beta3-beta0,3,2.5,2.7341344356536865,2.3335013389587402,3.0881052017211914,1.0,1.0,0.23413443565368652,True
B: beta1-beta0,3,0.3999999999999999,0.4225074350833893,0.23647922277450562,0.6077965497970581,1.0,0.21975,0.02250743508338937,True
B: beta4-beta2,3,1.2,1.2957795858383179,1.1113994121551514,1.5070905685424805,1.0,1.0,0.09577958583831792,True
E: beta1-beta0,3,0.30000000000000004,0.29652270674705505,0.21812152862548828,0.38153886795043945,1.0,0.0,-0.0034772932529449907,True
E: beta2-beta3,3,1.2999999999999998,1.2271647453308105,1.13886559009552,1.3131203651428223,1.0,1.0,-0.07283525466918928,True
D: beta1-beta0,3,1.0,1.1642320156097412,0.8009710907936096,1.556918740272522,1.0,0.99875,0.1642320156097412,True
D: beta2-beta0,3,1.5,1.4556381702423096,1.065229058265686,1.8396329879760742,1.0,0.99975,-0.04436182975769043,True
D: beta3-beta0,3,2.5,2.1741538047790527,1.7479510307312012,2.584714412689209,1.0,1.0,-0.32584619522094727,True
C: mu_delta,3,0.6,0.6092921495437622,0.05628829821944237,1.1343060731887817,0.97275,0.729,0.00929214954376223,True
C: delta_bench0,3,0.5,0.5009238719940186,0.31330427527427673,0.701371431350708,1.0,0.5,0.0009238719940185547,True
C: delta_bench1,3,0.7,0.7639588713645935,0.6695449948310852,0.8632029294967651,1.0,1.0,0.06395887136459355,True
A: beta1-beta0,4,1.0,1.1872049570083618,0.8726766109466553,1.4971139430999756,1.0,1.0,0.18720495700836182,True
A: beta2-beta0,4,1.5,1.6855829954147339,1.366681694984436,2.0336852073669434,1.0,1.0,0.1855829954147339,True
A: beta3-beta0,4,2.5,2.5820658206939697,2.2014739513397217,2.9399900436401367,1.0,1.0,0.08206582069396973,True
B: beta1-beta0,4,0.3999999999999999,0.21985632181167603,-0.015105009078979492,0.4509587287902832,0.963,0.012,-0.18014367818832389,True
B: beta4-beta2,4,1.2,1.2321677207946777,0.996651291847229,1.4756211042404175,1.0,1.0,0.03216772079467778,True
E: beta1-beta0,4,0.30000000000000004,0.27111777663230896,0.18609118461608887,0.34407979249954224,1.0,0.0,-0.028882223367691084,True
E: beta2-beta3,4,1.2999999999999998,1.314609408378601,1.2340831756591797,1.397152066230774,1.0,1.0,0.014609408378601252,True
D: beta1-beta0,4,1.0,0.9368650913238525,0.5994734764099121,1.2800722122192383,1.0,0.9895,-0.06313490867614746,True
D: beta2-beta0,4,1.5,1.8794519901275635,1.522254228591919,2.2893190383911133,1.0,1.0,0.3794519901275635,False
D: beta3-beta0,4,2.5,2.6877996921539307,2.2830309867858887,3.1221656799316406,1.0,1.0,0.18779969215393066,True
C: mu_delta,4,0.6,0.5919861793518066,0.20387664437294006,1.0023289918899536,0.99225,0.78,-0.008013820648193337,True
C: delta_bench0,4,0.5,0.5565581321716309,0.3840287923812866,0.7256177663803101,1.0,0.7335,0.05655813217163086,True
C: delta_bench1,4,0.7,0.6461606621742249,0.5519775152206421,0.7393214106559753,1.0,0.9985,-0.0538393378257751,True
