model_raw,canonical,release_date,source
anthropic/claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,2024-06-20,snapshot date embedded in model string
anthropic/claude-3-5-sonnet-latest,claude-3-5-sonnet-20241022,2024-10-22,Anthropic upgraded Claude 3.5 Sonnet release 2024-10-22 (platform.claude.com release notes); `-latest` alias pointed at 20241022 during the run window (2025-01..2025-06)
anthropic/claude-3-7-sonnet-20250219,claude-3-7-sonnet,2025-02-19,snapshot date embedded in claude-3-7-sonnet-20250219; `-latest` alias has only this snapshot
anthropic/claude-3-7-sonnet-latest,claude-3-7-sonnet,2025-02-19,snapshot date embedded in claude-3-7-sonnet-20250219; `-latest` alias has only this snapshot
anthropic/claude-3-haiku-20240307,claude-3-haiku,2024-03-07,snapshot date embedded in model string claude-3-haiku-20240307
anthropic/claude-opus-4-1-20250805,claude-opus-4-1,2025-08-05,snapshot date embedded in claude-opus-4-1-20250805
anthropic/claude-opus-4-20250514,claude-opus-4,2025-05-14,snapshot date embedded in claude-opus-4-20250514 (public launch 2025-05-22)
anthropic/claude-sonnet-4-20250514,claude-sonnet-4,2025-05-14,snapshot date embedded in claude-sonnet-4-20250514 (public launch 2025-05-22)
azureai/Mistral-Large-2411,mistral-large-2411,2024-11-19,Mistral Large 24.11 released 2024-11-19 (docs.mistral.ai; huggingface.co/mistralai/Mistral-Large-Instruct-2411)
gemma/gemma-3-27b-it,gemma-3-27b-it,2025-03-12,Google 'Introducing Gemma 3' blog 2025-03-12 (ai.google.dev/gemma/docs/releases)
mistralazure/Mistral-Large-2411,mistral-large-2411,2024-11-19,Mistral Large 24.11 released 2024-11-19 (docs.mistral.ai; huggingface.co/mistralai/Mistral-Large-Instruct-2411)
mistralazure/Mistral-Large-2411-CAST,EXCLUDED,,modified deployment variant (Mistral-Large-2411-CAST)
openai/ft:gpt-4o-2024-08-06:uk-dsit::B9su2rxg,EXCLUDED,,uk-dsit fine-tune of gpt-4o (not a public model release)
openai/ft:gpt-4o-2024-08-06:uk-dsit::B9yZyYfV,EXCLUDED,,uk-dsit fine-tune of gpt-4o (not a public model release)
openai/ft:gpt-4o-2024-08-06:uk-dsit::B9yxrh0N,EXCLUDED,,uk-dsit fine-tune of gpt-4o (not a public model release)
openai/ft:gpt-4o-2024-08-06:uk-dsit::BAJFlFSl,EXCLUDED,,uk-dsit fine-tune of gpt-4o (not a public model release)
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCQ4C6FQ,EXCLUDED,,uk-dsit fine-tune of gpt-4o (not a public model release)
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCSW2NXS,EXCLUDED,,uk-dsit fine-tune of gpt-4o (not a public model release)
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCX28alr,EXCLUDED,,uk-dsit fine-tune of gpt-4o (not a public model release)
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCX4E5bC,EXCLUDED,,uk-dsit fine-tune of gpt-4o (not a public model release)
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCoUjAxI,EXCLUDED,,uk-dsit fine-tune of gpt-4o (not a public model release)
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCp8ZYC5,EXCLUDED,,uk-dsit fine-tune of gpt-4o (not a public model release)
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCpK2wT6,EXCLUDED,,uk-dsit fine-tune of gpt-4o (not a public model release)
openai/ft:gpt-4o-2024-08-06:uk-dsit::BD7zX89a,EXCLUDED,,uk-dsit fine-tune of gpt-4o (not a public model release)
openai/ft:gpt-4o-2024-08-06:uk-dsit::BDF60vZY,EXCLUDED,,uk-dsit fine-tune of gpt-4o (not a public model release)
openai/ft:gpt-4o-2024-08-06:uk-dsit::BDVXJNu1,EXCLUDED,,uk-dsit fine-tune of gpt-4o (not a public model release)
openai/ft:gpt-4o-2024-08-06:uk-dsit::BDVvHusM,EXCLUDED,,uk-dsit fine-tune of gpt-4o (not a public model release)
