task_name,canonical,release_date,t,n_runs,n_total,k_float,run_acc_sd,first_run,last_run,n_correct,acc,rounding_err,in_fit
boolq_preference,gpt-4o-2024-08-06,2024-08-06 00:00:00+00:00,-0.405201916495551,385,3180439,2836174.0,0.006578478889639295,2025-09-05 16:39:40+00:00,2025-11-29 09:17:01+00:00,2836174,0.8917555092237267,0.0,True
boolq_preference,claude-3-7-sonnet,2025-02-19 00:00:00+00:00,0.13415468856947296,377,3084254,2068812.0,0.23774382382750112,2025-09-10 20:44:24+00:00,2025-12-06 20:20:42+00:00,2068812,0.6707657670217823,0.0,True
boolq_preference,claude-sonnet-4,2025-05-14 00:00:00+00:00,0.36413415468856947,360,2003004,1010059.0,0.11201293873587728,2025-08-26 14:54:02+00:00,2025-11-26 11:05:01+00:00,1010059,0.5042720833308371,0.0,True
boolq_preference,claude-opus-4-1,2025-08-05 00:00:00+00:00,0.5913757700205339,475,2763028,2292826.0,0.06945318211497963,2025-08-26 15:03:01+00:00,2025-12-04 05:10:34+00:00,2292826,0.8298236572340201,0.0,True
boolq_preference,gpt-5,2025-08-07 00:00:00+00:00,0.5968514715947981,293,1813933,1585177.0,0.029221462957867192,2025-09-10 20:48:57+00:00,2025-10-31 23:08:49+00:00,1585177,0.8738894986749787,0.0,True
cybench,claude-3-haiku,2024-03-07 00:00:00+00:00,-0.8213552361396304,1,3,0.0,,2025-06-03 22:50:04+00:00,2025-06-03 22:50:04+00:00,0,0.0,0.0,False
cybench,gpt-4o-2024-08-06,2024-08-06 00:00:00+00:00,-0.405201916495551,8,1227,160.29,0.10074608692144012,2025-03-07 12:05:07+00:00,2025-03-31 23:00:08+00:00,160,0.13039934800325997,0.28999999999999204,True
cybench,o1-mini,2024-09-12 00:00:00+00:00,-0.30390143737166325,3,3,0.0,0.0,2025-02-06 23:13:12+00:00,2025-02-06 23:13:12+00:00,0,0.0,0.0,False
cybench,claude-3-5-sonnet-20241022,2024-10-22 00:00:00+00:00,-0.1943874058863792,1,3,1.0,,2025-06-03 22:50:04+00:00,2025-06-03 22:50:04+00:00,1,0.3333333333333333,0.0,False
cybench,mistral-large-2411,2024-11-19 00:00:00+00:00,-0.11772758384668036,6,2400,222.0,0.011832159566199244,2025-06-09 19:48:56+00:00,2025-06-20 21:21:11+00:00,222,0.0925,0.0,True
