model,p_mean,p_hdi_low,p_hdi_high,logit_mean,logit_sd
openai/gpt-5,0.6166357159614563,0.5777379274368286,0.6562555432319641,1.931763,0.33057782
anthropic/claude-opus-4-1-20250805,0.5828532170467079,0.5400834679603577,0.6241819262504578,1.4741923,0.3385559
anthropic/claude-sonnet-4-20250514,0.5621667843014002,0.5190920829772949,0.6056037545204163,1.1939673,0.33735627
openai/o4-mini,0.5436347585730255,0.49892333149909973,0.5877077579498291,0.9426211,0.33560658
openai/o3,0.5399662545174361,0.4978905916213989,0.5855115056037903,0.8930244,0.32940176
anthropic/claude-opus-4-20250514,0.457684850692749,0.40372419357299805,0.5080806612968445,-0.22369297,0.34693864
openai/o1,0.416375755392015,0.3710258901119232,0.4643975794315338,-0.7893799,0.27769908
anthropic/claude-3-7-sonnet-20250219,0.3405516095906496,0.2937489151954651,0.38712069392204285,-1.8464825,0.25448713
openai/o1-2024-12-17,0.2807540815547109,0.23443278670310974,0.32919779419898987,-2.7312536,0.28841367
openai/o3-mini,0.2743039310965687,0.22923286259174347,0.320096492767334,-2.8315158,0.27263746
openai/ft:gpt-4o-2024-08-06:uk-dsit::BEgRJ3Fq,0.23147888376377523,0.18689340353012085,0.2802199721336365,-3.5409093,0.34368804
openai/ft:gpt-4o-2024-08-06:uk-dsit::BE2eetTQ,0.23114996658079326,0.18649178743362427,0.27735328674316406,-3.5453424,0.32686272
openai/ft:gpt-4o-2024-08-06:uk-dsit::BEiEyAT2,0.21741920224577188,0.17343993484973907,0.26110348105430603,-3.7903206,0.33311096
openai/ft:gpt-4o-2024-08-06:uk-dsit::BG4zKjLN,0.21251962373778224,0.17034077644348145,0.2560376226902008,-3.8799212,0.3348089
openai/ft:gpt-4o-2024-08-06:uk-dsit::BEJtw4QO,0.21136234923824668,0.17019392549991608,0.25385263562202454,-3.9006605,0.32664508
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCQ4C6FQ,0.20593007229454816,0.16213645040988922,0.2567102909088135,-4.0070972,0.40015602
openai/ft:gpt-4o-2024-08-06:uk-dsit::BEKd3nW7,0.20415180647559464,0.16655470430850983,0.2488817423582077,-4.035988,0.32399228
openai/ft:gpt-4o-2024-08-06:uk-dsit::BDVXJNu1,0.20294742668792606,0.16334658861160278,0.24605341255664825,-4.0596642,0.3313279
openai/ft:gpt-4o-2024-08-06:uk-dsit::BG3bJ5gB,0.20209628064371646,0.16209203004837036,0.24500145018100739,-4.075539,0.33483025
openai/ft:gpt-4o-2024-08-06:uk-dsit::BG3muM73,0.1978170783817768,0.15735051035881042,0.23899896442890167,-4.1580076,0.330711
openai/ft:gpt-4o-2024-08-06:uk-dsit::BEf0pr5u,0.1972184506673366,0.15758705139160156,0.23967158794403076,-4.16999,0.33694297
openai/ft:gpt-4o-2024-08-06:uk-dsit::BEJmTBGS,0.19674288736097514,0.15663552284240723,0.23795820772647858,-4.178804,0.3289642
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCSW2NXS,0.19564614414516837,0.149261474609375,0.24034607410430908,-4.205438,0.39904726
openai/ft:gpt-4o-2024-08-06:uk-dsit::B9yZyYfV,0.1955310608036816,0.15378281474113464,0.24431905150413513,-4.20665,0.3948816
openai/ft:gpt-4o-2024-08-06:uk-dsit::BEe4Bz5J,0.19434844317659736,0.15690398216247559,0.23740454018115997,-4.2258644,0.32881793
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCoUjAxI,0.1926913156621158,0.156219944357872,0.2350677251815796,-4.2580905,0.32761186
openai/ft:gpt-4o-2024-08-06:uk-dsit::BE4iG2wt,0.1925468278415501,0.15446427464485168,0.23384039103984833,-4.261597,0.327715
openai/ft:gpt-4o-2024-08-06:uk-dsit::B9su2rxg,0.19178638446331026,0.15127241611480713,0.2384621649980545,-4.279814,0.37638107
openai/ft:gpt-4o-2024-08-06:uk-dsit::BDW73y1Q,0.19152641224861144,0.15111711621284485,0.23122519254684448,-4.281415,0.325719
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCX4E5bC,0.19069205599371344,0.1464148759841919,0.23701058328151703,-4.303892,0.40008074
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCX28alr,0.19067303709313274,0.14739389717578888,0.23693418502807617,-4.3036675,0.3997881
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCp8ZYC5,0.18577844939380883,0.14943383634090424,0.22433249652385712,-4.3962336,0.30727303
