model,p_mean,p_hdi_low,p_hdi_high,logit_mean,logit_sd
openai/gpt-5,0.6769115223512053,0.6661331057548523,0.6865206360816956,0.87924355,0.07266739
mistralazure/Mistral-Large-2411,0.6590543992817401,0.6459528207778931,0.6720552444458008,0.7224761,0.08040635
anthropic/claude-opus-4-1-20250805,0.5930855007395148,0.5809294581413269,0.6044105887413025,0.19498165,0.07249798
openai/o4-mini,0.5422306149676442,0.5319189429283142,0.553787112236023,-0.1754522,0.069398865
anthropic/claude-sonnet-4-20250514,0.5365638907849789,0.5249773859977722,0.5485948920249939,-0.21549167,0.07119788
mistralazure/Mistral-Large-2411-CAST,0.5346298827305436,0.5232125520706177,0.5460277199745178,-0.2290727,0.06912045
gemma/gemma-3-27b-it,0.5343716749772429,0.5278579592704773,0.5409895777702332,-0.230968,0.060171768
openai/gpt-4o-2024-08-06,0.5339693396352232,0.5112568140029907,0.5590004324913025,-0.23336278,0.104702935
azureai/Mistral-Large-2411,0.5258796423971653,0.5085523128509521,0.543673574924469,-0.29033628,0.08504446
openai/o3,0.4723062386326492,0.4616680443286896,0.4826611280441284,-0.6592985,0.06739885
vllm//mnt/s3/teams/white-box/handover/models/cedar,0.31264404225349424,0.2570522129535675,0.36690324544906616,-1.7622083,0.21992241
vllm//mnt/s3/teams/white-box/handover/models/oak,0.2882739201411605,0.23809510469436646,0.3475376069545746,-1.9420799,0.22681652
vllm//home/ubuntu/.cache/wb_model_registry/s3/oak,0.28457828029245136,0.2653380334377289,0.303730845451355,-1.9656641,0.09320122
vllm/meta-llama/Llama-3.1-8B-Instruct,0.21900900577753782,0.1703130155801773,0.2704544961452484,-2.4948237,0.23696844
vllm//mnt/s3/teams/white-box/handover/models/yew,0.18158334064856171,0.1346723884344101,0.2300301045179367,-2.835192,0.2530628
