fit,param,n_elements,max_r_hat,min_ess_bulk,min_ess_tail
synth_crossed,model_effects,8,1.0007,9110.2054,5162.7268
synth_crossed,sigma_item,1,1.0014,2153.9446,3670.3804
synth_crossed_harsh,model_effects,45,1.0033,1023.165,2168.09
synth_crossed_harsh,sigma_item,1,1.0208,285.9145,791.7455
synth_repro_alt,group_effects,30,1.0016,5107.1444,5359.3838
synth_repro_alt,sigma_run,1,1.0008,2728.4414,4618.8469
synth_repro_null,group_effects,30,1.0019,8764.1429,5225.7429
synth_repro_null,sigma_run,1,1.0007,1559.7677,3047.8815
synth_boolq,model_effects,5,1.0004,8439.3779,6196.3916
synth_boolq,sigma_run,1,1.0009,5971.9656,6020.0706
synth_boolq,sigma_char,5,1.0044,556.4063,1491.476
synth_boolq,sigma_char_common,1,1.0002,4609.909,5400.3687
synth_boolq,split_effects_free,1,1.0003,13939.4842,6710.8277
cybench_crossed,model_effects,45,1.0094,462.9146,912.0898
cybench_crossed,sigma_item,1,1.0065,568.4593,923.2086
cybench_repro,group_effects,12,1.0013,2181.355,3732.716
cybench_repro,sigma_run,1,1.0003,2361.163,4189.427
gdm_intercode_ctf_crossed,model_effects,15,1.0048,655.9311,1277.1773
gdm_intercode_ctf_crossed,sigma_item,1,1.0187,337.4627,709.5257
gdm_intercode_ctf_repro,group_effects,5,1.0026,2556.1127,3713.7331
gdm_intercode_ctf_repro,sigma_run,1,1.0007,2259.018,3657.7199
swe_bench_crossed,model_effects,3,1.0016,1563.5706,3052.1352
swe_bench_crossed,sigma_item,1,1.0033,780.337,1061.3047
swe_bench_repro,group_effects,4,1.0012,5771.977,3365.7642
swe_bench_repro,sigma_run,1,1.0023,2317.6931,2564.8901
swe_bench_repro_ta95,group_effects,4,1.002,4724.4562,3288.1919
swe_bench_repro_ta95,sigma_run,1,1.001,2389.1288,2628.8361
swe_bench_repro_ta97,group_effects,4,1.0015,4916.2008,3843.8096
swe_bench_repro_ta97,sigma_run,1,1.0028,2615.1767,3159.1278
boolq_normal,model_effects,7,1.001,8828.412,5506.6952
boolq_normal,sigma_run,1,1.0005,8226.1788,6406.2597
boolq_normal,sigma_char,7,1.0093,614.4563,1172.0036
boolq_normal,sigma_char_common,1,1.0002,2672.1555,4212.5217
boolq_normal,split_effects_free,1,1.0002,9216.2278,7017.5864
cybench_crossed_betabin,model_effects,45,1.0064,999.9055,2142.8495
cybench_crossed_betabin,sigma_item,1,1.0037,988.4979,2026.4862
cybench_crossed_betabin,rho_cell,1,1.0002,5791.7243,6332.5567
