model,n,k,included
anthropic/claude-3-7-sonnet-20250219,7844,2135.0,True
gemma/gemma-3-27b-it,5200,466.0,True
openai/o3,2475,1501.0,True
openai/gpt-5,1805,1381.0,True
openai/o3-mini,1645,365.0,True
mistralazure/Mistral-Large-2411,1600,153.0,True
openai/gpt-4o-2024-08-06,1227,162.0,True
mistralazure/Mistral-Large-2411-CAST,1200,100.0,True
openai/o4-mini,1074,694.0,True
openai/o1,985,320.0,True
anthropic/claude-sonnet-4-20250514,910,641.0,True
anthropic/claude-opus-4-1-20250805,848,648.0,True
azureai/Mistral-Large-2411,800,69.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCp8ZYC5,570,82.0,True
openai/o1-2024-12-17,520,140.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BE4iG2wt,410,63.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BEJmTBGS,410,66.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BDX8G5a4,410,48.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BEJtw4QO,410,74.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BE2eetTQ,410,79.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BDW73y1Q,409,64.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BEe4Bz5J,406,68.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BDF60vZY,400,17.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BG3muM73,400,60.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCoUjAxI,400,58.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BDVXJNu1,400,62.0,True
anthropic/claude-opus-4-20250514,400,147.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCpK2wT6,400,34.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BD7zX89a,400,51.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BEKd3nW7,399,68.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BG5HnntI,396,52.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BG3bJ5gB,396,61.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BG4zKjLN,382,65.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BEe45eW4:ckpt-step-30,379,43.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BEiEyAT2,377,67.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BEgRJ3Fq,345,68.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BEf0pr5u,339,57.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::B9su2rxg,206,34.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::B9yZyYfV,200,29.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BAJFlFSl,200,23.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCSW2NXS,200,29.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::B9yxrh0N,200,11.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCX4E5bC,200,28.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCQ4C6FQ,200,31.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCX28alr,200,28.0,True
openai/ft:gpt-4o-2024-08-06:uk-dsit::BDVvHusM,10,7.0,False
anthropic/claude-3-5-sonnet-latest,3,1.0,False
anthropic/claude-3-haiku-20240307,3,0.0,False
openai/o1-mini,3,0.0,False
