group,model,n_runs,mean_acc,sd_acc,med_n,binom_sd,ratio
Mistral-Large-2411-CAST|g7,mistralazure/Mistral-Large-2411-CAST,3,0.08333333333333333,0.03329164059239697,400.0,0.013819269959814166,2.4090737563711837
Mistral-Large-2411|g4,azureai/Mistral-Large-2411,2,0.08625,0.012374368670764588,400.0,0.01403664289458131,0.8815760836618259
Mistral-Large-2411|g6,mistralazure/Mistral-Large-2411,3,0.09749999999999999,0.013919410907075054,400.0,0.014831870246196194,0.9384798192018198
claude-3-7-sonnet-20250219|g0,anthropic/claude-3-7-sonnet-20250219,3,0.2733333333333334,0.020207259421636897,200.0,0.03151366546612931,0.6412221213478175
claude-3-7-sonnet-20250219|g1,anthropic/claude-3-7-sonnet-20250219,2,0.27249999999999996,0.024748737341529166,200.0,0.031483626697062714,0.7860827972476918
claude-3-7-sonnet-20250219|g2,anthropic/claude-3-7-sonnet-20250219,2,0.09,0.042426406871192854,50.0,0.04047221268969612,1.0482848367219184
claude-3-7-sonnet-20250219|g3,anthropic/claude-3-7-sonnet-20250219,2,0.15375,0.21743533521486336,400.0,0.018035446868597406,12.055999321727537
gemma-3-27b-it|g5,gemma/gemma-3-27b-it,13,0.08961538461538462,0.011403862368648479,400.0,0.014281497422856376,0.7985060691463295
gpt-4o-2024-08-06|g8,openai/gpt-4o-2024-08-06,2,0.14381578947368423,0.012467409036710186,195.0,0.025128674822135804,0.4961427184265072
gpt-4o-2024-08-06|g9,openai/gpt-4o-2024-08-06,2,0.10750000000000001,0.010606601717798208,200.0,0.02190248273598224,0.4842648135214952
o1-2024-12-17|g10,openai/o1-2024-12-17,2,0.225,0.03535533905932737,40.0,0.06602556323122129,0.5354795526016658
o1-2024-12-17|g11,openai/o1-2024-12-17,2,0.2,0.03535533905932738,40.0,0.0632455532033676,0.5590169943749475
