task,model,run_epochs,n_runs,mean_acc,sd_acc,med_n,min_run_n,sd_zero
cybench,claude-3-7-sonnet-20250219,3,2,0.31666666666666665,0.0,120.0,10,True
cybench,claude-3-7-sonnet-20250219,3,2,0.31896551724137934,0.0,116.0,10,True
cybench,claude-3-7-sonnet-20250219,5,3,0.2733333333333334,0.020207259421636897,200.0,10,False
cybench,claude-3-7-sonnet-20250219,10,2,0.18,0.0,50.0,10,True
cybench,claude-3-7-sonnet-20250219,10,2,0.08,0.0,50.0,10,True
cybench,claude-3-7-sonnet-20250219,5,2,0.27249999999999996,0.024748737341529166,200.0,10,False
cybench,claude-3-7-sonnet-20250219,10,2,0.34,0.0,50.0,10,True
cybench,claude-3-7-sonnet-20250219,10,2,0.26,0.0,50.0,10,True
cybench,claude-3-7-sonnet-20250219,1,2,0.2972972972972973,0.0,37.0,10,True
cybench,claude-3-7-sonnet-20250219,1,2,0.2564102564102564,0.0,39.0,10,True
cybench,claude-3-7-sonnet-20250219,3,2,0.34513274336283184,0.0,113.0,10,True
cybench,claude-3-7-sonnet-20250219,10,2,0.32,0.0,50.0,10,True
cybench,claude-3-7-sonnet-20250219,10,4,0.09,0.034641016151377546,50.0,10,False
cybench,claude-3-7-sonnet-20250219,10,2,0.15375,0.21743533521486336,400.0,10,False
cybench,Mistral-Large-2411,10,2,0.08625,0.012374368670764588,400.0,10,False
cybench,gemma-3-27b-it,10,24,0.091875,0.011915691152936699,400.0,10,False
cybench,Mistral-Large-2411,10,2,0.09,0.0,400.0,10,True
cybench,Mistral-Large-2411,10,9,0.0975,0.012054563451241196,400.0,10,False
cybench,Mistral-Large-2411-CAST,10,8,0.08875,0.027091116097875543,400.0,10,False
cybench,ft:gpt-4o-2024-08-06:uk-dsit::B9su2rxg,10,2,0.9,0.0,10.0,10,True
cybench,ft:gpt-4o-2024-08-06:uk-dsit::B9su2rxg,5,2,0.12755102040816327,0.0,196.0,10,True
cybench,ft:gpt-4o-2024-08-06:uk-dsit::B9yZyYfV,5,2,0.145,0.0,200.0,10,True
cybench,ft:gpt-4o-2024-08-06:uk-dsit::B9yxrh0N,5,2,0.055,0.0,200.0,10,True
