variable,type,n_rows,n_non_null,coverage,n_distinct,tasks_fully_covered,coverage_by_task
model,categorical,167,167,1.0,17,38,"{""agentic_eval-long_horizon_agent_A"": 1.0, ""agentic_eval-long_horizon_agent_B"": 1.0, ""be06-use-after-free"": 1.0, ""be07-heap-overflow"": 1.0, ""cybench-basic_cyber_agent_B"": 1.0, ""cybench-claude_code"": 1.0, ""cybench-lha"": 1.0, ""dev_make_rest_api"": 1.0, ""lha-be02_aslr_leak_provided"": 1.0, ""lha-cookie_injection"": 1.0, ""lha-lottery"": 1.0, ""lha-re09_simple_vm"": 1.0, ""mmlu_5_shot-refuse-sandbag-monitored"": 1.0, ""mmlu_5_shot-refuse-unmonitored"": 1.0, ""mmlu_5_shot_with_REFUSAL_1"": 1.0, ""mmlu_5_shot_with_refuse"": 1.0, ""mmlu_5_shot_with_refuse-aware"": 1.0, ""mmlu_5_shot_with_refuse-sandbag"": 1.0, ""online_compute_acqusition"": 1.0, ""re02-kernel-module"": 1.0, ""re04-python-nuitka"": 1.0, ""re04_python_nuitka-native_compaction_agent"": 1.0, ""re05-rtos-mips"": 1.0, ""re06-rtos-arm"": 1.0, ""re07-malware-packing"": 1.0, ""re09-simple-vm"": 1.0, ""re10-firmware-mips"": 1.0, ""re11-firmware-arm"": 1.0, ""re12-dynamic-loading-1"": 1.0, ""re13_vaultwarden-native_compaction_agent"": 1.0, ""re14-rust-vm"": 1.0, ""re15-unknown-format"": 1.0, ""re16_known_protocol-native_compaction_agent"": 1.0, ""vr16_libreoffice-native_compaction_agent"": 1.0, ""vr27_openssh-native_compaction_agent"": 1.0, ""vr29_nginx-native_compaction_agent"": 1.0, ""vr35_lighttpd-native_compaction_agent"": 1.0, ""vr52_cupsd-native_compaction_agent"": 1.0}"
epochs,continuous,167,167,1.0,4,38,"{""agentic_eval-long_horizon_agent_A"": 1.0, ""agentic_eval-long_horizon_agent_B"": 1.0, ""be06-use-after-free"": 1.0, ""be07-heap-overflow"": 1.0, ""cybench-basic_cyber_agent_B"": 1.0, ""cybench-claude_code"": 1.0, ""cybench-lha"": 1.0, ""dev_make_rest_api"": 1.0, ""lha-be02_aslr_leak_provided"": 1.0, ""lha-cookie_injection"": 1.0, ""lha-lottery"": 1.0, ""lha-re09_simple_vm"": 1.0, ""mmlu_5_shot-refuse-sandbag-monitored"": 1.0, ""mmlu_5_shot-refuse-unmonitored"": 1.0, ""mmlu_5_shot_with_REFUSAL_1"": 1.0, ""mmlu_5_shot_with_refuse"": 1.0, ""mmlu_5_shot_with_refuse-aware"": 1.0, ""mmlu_5_shot_with_refuse-sandbag"": 1.0, ""online_compute_acqusition"": 1.0, ""re02-kernel-module"": 1.0, ""re04-python-nuitka"": 1.0, ""re04_python_nuitka-native_compaction_agent"": 1.0, ""re05-rtos-mips"": 1.0, ""re06-rtos-arm"": 1.0, ""re07-malware-packing"": 1.0, ""re09-simple-vm"": 1.0, ""re10-firmware-mips"": 1.0, ""re11-firmware-arm"": 1.0, ""re12-dynamic-loading-1"": 1.0, ""re13_vaultwarden-native_compaction_agent"": 1.0, ""re14-rust-vm"": 1.0, ""re15-unknown-format"": 1.0, ""re16_known_protocol-native_compaction_agent"": 1.0, ""vr16_libreoffice-native_compaction_agent"": 1.0, ""vr27_openssh-native_compaction_agent"": 1.0, ""vr29_nginx-native_compaction_agent"": 1.0, ""vr35_lighttpd-native_compaction_agent"": 1.0, ""vr52_cupsd-native_compaction_agent"": 1.0}"
task_version,categorical,167,167,1.0,1,38,"{""agentic_eval-long_horizon_agent_A"": 1.0, ""agentic_eval-long_horizon_agent_B"": 1.0, ""be06-use-after-free"": 1.0, ""be07-heap-overflow"": 1.0, ""cybench-basic_cyber_agent_B"": 1.0, ""cybench-claude_code"": 1.0, ""cybench-lha"": 1.0, ""dev_make_rest_api"": 1.0, ""lha-be02_aslr_leak_provided"": 1.0, ""lha-cookie_injection"": 1.0, ""lha-lottery"": 1.0, ""lha-re09_simple_vm"": 1.0, ""mmlu_5_shot-refuse-sandbag-monitored"": 1.0, ""mmlu_5_shot-refuse-unmonitored"": 1.0, ""mmlu_5_shot_with_REFUSAL_1"": 1.0, ""mmlu_5_shot_with_refuse"": 1.0, ""mmlu_5_shot_with_refuse-aware"": 1.0, ""mmlu_5_shot_with_refuse-sandbag"": 1.0, ""online_compute_acqusition"": 1.0, ""re02-kernel-module"": 1.0, ""re04-python-nuitka"": 1.0, ""re04_python_nuitka-native_compaction_agent"": 1.0, ""re05-rtos-mips"": 1.0, ""re06-rtos-arm"": 1.0, ""re07-malware-packing"": 1.0, ""re09-simple-vm"": 1.0, ""re10-firmware-mips"": 1.0, ""re11-firmware-arm"": 1.0, ""re12-dynamic-loading-1"": 1.0, ""re13_vaultwarden-native_compaction_agent"": 1.0, ""re14-rust-vm"": 1.0, ""re15-unknown-format"": 1.0, ""re16_known_protocol-native_compaction_agent"": 1.0, ""vr16_libreoffice-native_compaction_agent"": 1.0, ""vr27_openssh-native_compaction_agent"": 1.0, ""vr29_nginx-native_compaction_agent"": 1.0, ""vr35_lighttpd-native_compaction_agent"": 1.0, ""vr52_cupsd-native_compaction_agent"": 1.0}"
epochs_reducer,categorical,167,86,0.515,1,23,"{""agentic_eval-long_horizon_agent_A"": 1.0, ""agentic_eval-long_horizon_agent_B"": 1.0, ""be06-use-after-free"": 0.0, ""be07-heap-overflow"": 0.0, ""cybench-basic_cyber_agent_B"": 1.0, ""cybench-claude_code"": 1.0, ""cybench-lha"": 1.0, ""dev_make_rest_api"": 0.0, ""lha-be02_aslr_leak_provided"": 1.0, ""lha-cookie_injection"": 1.0, ""lha-lottery"": 1.0, ""lha-re09_simple_vm"": 1.0, ""mmlu_5_shot-refuse-sandbag-monitored"": 1.0, ""mmlu_5_shot-refuse-unmonitored"": 1.0, ""mmlu_5_shot_with_REFUSAL_1"": 1.0, ""mmlu_5_shot_with_refuse"": 1.0, ""mmlu_5_shot_with_refuse-aware"": 1.0, ""mmlu_5_shot_with_refuse-sandbag"": 1.0, ""online_compute_acqusition"": 0.0, ""re02-kernel-module"": 0.0, ""re04-python-nuitka"": 0.0, ""re04_python_nuitka-native_compaction_agent"": 1.0, ""re05-rtos-mips"": 0.0, ""re06-rtos-arm"": 0.0, ""re07-malware-packing"": 0.0, ""re09-simple-vm"": 0.0, ""re10-firmware-mips"": 0.0, ""re11-firmware-arm"": 0.0, ""re12-dynamic-loading-1"": 0.0, ""re13_vaultwarden-native_compaction_agent"": 1.0, ""re14-rust-vm"": 0.0, ""re15-unknown-format"": 0.0, ""re16_known_protocol-native_compaction_agent"": 1.0, ""vr16_libreoffice-native_compaction_agent"": 1.0, ""vr27_openssh-native_compaction_agent"": 1.0, ""vr29_nginx-native_compaction_agent"": 1.0, ""vr35_lighttpd-native_compaction_agent"": 1.0, ""vr52_cupsd-native_compaction_agent"": 1.0}"
model_generate_config.max_connections,continuous,167,86,0.515,3,23,"{""agentic_eval-long_horizon_agent_A"": 1.0, ""agentic_eval-long_horizon_agent_B"": 1.0, ""be06-use-after-free"": 0.0, ""be07-heap-overflow"": 0.0, ""cybench-basic_cyber_agent_B"": 1.0, ""cybench-claude_code"": 1.0, ""cybench-lha"": 1.0, ""dev_make_rest_api"": 0.0, ""lha-be02_aslr_leak_provided"": 1.0, ""lha-cookie_injection"": 1.0, ""lha-lottery"": 1.0, ""lha-re09_simple_vm"": 1.0, ""mmlu_5_shot-refuse-sandbag-monitored"": 1.0, ""mmlu_5_shot-refuse-unmonitored"": 1.0, ""mmlu_5_shot_with_REFUSAL_1"": 1.0, ""mmlu_5_shot_with_refuse"": 1.0, ""mmlu_5_shot_with_refuse-aware"": 1.0, ""mmlu_5_shot_with_refuse-sandbag"": 1.0, ""online_compute_acqusition"": 0.0, ""re02-kernel-module"": 0.0, ""re04-python-nuitka"": 0.0, ""re04_python_nuitka-native_compaction_agent"": 1.0, ""re05-rtos-mips"": 0.0, ""re06-rtos-arm"": 0.0, ""re07-malware-packing"": 0.0, ""re09-simple-vm"": 0.0, ""re10-firmware-mips"": 0.0, ""re11-firmware-arm"": 0.0, ""re12-dynamic-loading-1"": 0.0, ""re13_vaultwarden-native_compaction_agent"": 1.0, ""re14-rust-vm"": 0.0, ""re15-unknown-format"": 0.0, ""re16_known_protocol-native_compaction_agent"": 1.0, ""vr16_libreoffice-native_compaction_agent"": 1.0, ""vr27_openssh-native_compaction_agent"": 1.0, ""vr29_nginx-native_compaction_agent"": 1.0, ""vr35_lighttpd-native_compaction_agent"": 1.0, ""vr52_cupsd-native_compaction_agent"": 1.0}"
sandbox_type,categorical,167,76,0.455,2,11,"{""agentic_eval-long_horizon_agent_A"": 1.0, ""agentic_eval-long_horizon_agent_B"": 1.0, ""be06-use-after-free"": 0.0, ""be07-heap-overflow"": 0.0, ""cybench-basic_cyber_agent_B"": 1.0, ""cybench-claude_code"": 1.0, ""cybench-lha"": 1.0, ""dev_make_rest_api"": 1.0, ""lha-be02_aslr_leak_provided"": 0.0, ""lha-cookie_injection"": 0.0, ""lha-lottery"": 0.0, ""lha-re09_simple_vm"": 0.0, ""mmlu_5_shot-refuse-sandbag-monitored"": 0.0, ""mmlu_5_shot-refuse-unmonitored"": 0.0, ""mmlu_5_shot_with_REFUSAL_1"": 1.0, ""mmlu_5_shot_with_refuse"": 1.0, ""mmlu_5_shot_with_refuse-aware"": 1.0, ""mmlu_5_shot_with_refuse-sandbag"": 1.0, ""online_compute_acqusition"": 1.0, ""re02-kernel-module"": 0.0, ""re04-python-nuitka"": 0.0, ""re04_python_nuitka-native_compaction_agent"": 0.0, ""re05-rtos-mips"": 0.0, ""re06-rtos-arm"": 0.0, ""re07-malware-packing"": 0.0, ""re09-simple-vm"": 0.0, ""re10-firmware-mips"": 0.0, ""re11-firmware-arm"": 0.0, ""re12-dynamic-loading-1"": 0.0, ""re13_vaultwarden-native_compaction_agent"": 0.0, ""re14-rust-vm"": 0.0, ""re15-unknown-format"": 0.0, ""re16_known_protocol-native_compaction_agent"": 0.0, ""vr16_libreoffice-native_compaction_agent"": 0.0, ""vr27_openssh-native_compaction_agent"": 0.0, ""vr29_nginx-native_compaction_agent"": 0.0, ""vr35_lighttpd-native_compaction_agent"": 0.0, ""vr52_cupsd-native_compaction_agent"": 0.0}"
task_args.solver,categorical,167,55,0.329,4,2,"{""agentic_eval-long_horizon_agent_A"": 0.0, ""agentic_eval-long_horizon_agent_B"": 0.0, ""be06-use-after-free"": 0.0, ""be07-heap-overflow"": 0.0, ""cybench-basic_cyber_agent_B"": 0.0, ""cybench-claude_code"": 0.0, ""cybench-lha"": 0.0, ""dev_make_rest_api"": 1.0, ""lha-be02_aslr_leak_provided"": 0.0, ""lha-cookie_injection"": 0.0, ""lha-lottery"": 0.0, ""lha-re09_simple_vm"": 0.0, ""mmlu_5_shot-refuse-sandbag-monitored"": 0.0, ""mmlu_5_shot-refuse-unmonitored"": 0.0, ""mmlu_5_shot_with_REFUSAL_1"": 0.0, ""mmlu_5_shot_with_refuse"": 0.0, ""mmlu_5_shot_with_refuse-aware"": 0.0, ""mmlu_5_shot_with_refuse-sandbag"": 0.0, ""online_compute_acqusition"": 1.0, ""re02-kernel-module"": 0.0, ""re04-python-nuitka"": 0.0, ""re04_python_nuitka-native_compaction_agent"": 0.0, ""re05-rtos-mips"": 0.0, ""re06-rtos-arm"": 0.0, ""re07-malware-packing"": 0.0, ""re09-simple-vm"": 0.0, ""re10-firmware-mips"": 0.0, ""re11-firmware-arm"": 0.0, ""re12-dynamic-loading-1"": 0.0, ""re13_vaultwarden-native_compaction_agent"": 0.0, ""re14-rust-vm"": 0.0, ""re15-unknown-format"": 0.0, ""re16_known_protocol-native_compaction_agent"": 0.0, ""vr16_libreoffice-native_compaction_agent"": 0.0, ""vr27_openssh-native_compaction_agent"": 0.0, ""vr29_nginx-native_compaction_agent"": 0.0, ""vr35_lighttpd-native_compaction_agent"": 0.0, ""vr52_cupsd-native_compaction_agent"": 0.0}"
message_limit,continuous,167,43,0.257,1,1,"{""agentic_eval-long_horizon_agent_A"": 0.0, ""agentic_eval-long_horizon_agent_B"": 0.0, ""be06-use-after-free"": 0.0, ""be07-heap-overflow"": 0.0, ""cybench-basic_cyber_agent_B"": 0.0, ""cybench-claude_code"": 0.0, ""cybench-lha"": 0.0, ""dev_make_rest_api"": 1.0, ""lha-be02_aslr_leak_provided"": 0.0, ""lha-cookie_injection"": 0.0, ""lha-lottery"": 0.0, ""lha-re09_simple_vm"": 0.0, ""mmlu_5_shot-refuse-sandbag-monitored"": 0.0, ""mmlu_5_shot-refuse-unmonitored"": 0.0, ""mmlu_5_shot_with_REFUSAL_1"": 0.0, ""mmlu_5_shot_with_refuse"": 0.0, ""mmlu_5_shot_with_refuse-aware"": 0.0, ""mmlu_5_shot_with_refuse-sandbag"": 0.0, ""online_compute_acqusition"": 0.0, ""re02-kernel-module"": 0.0, ""re04-python-nuitka"": 0.0, ""re04_python_nuitka-native_compaction_agent"": 0.0, ""re05-rtos-mips"": 0.0, ""re06-rtos-arm"": 0.0, ""re07-malware-packing"": 0.0, ""re09-simple-vm"": 0.0, ""re10-firmware-mips"": 0.0, ""re11-firmware-arm"": 0.0, ""re12-dynamic-loading-1"": 0.0, ""re13_vaultwarden-native_compaction_agent"": 0.0, ""re14-rust-vm"": 0.0, ""re15-unknown-format"": 0.0, ""re16_known_protocol-native_compaction_agent"": 0.0, ""vr16_libreoffice-native_compaction_agent"": 0.0, ""vr27_openssh-native_compaction_agent"": 0.0, ""vr29_nginx-native_compaction_agent"": 0.0, ""vr35_lighttpd-native_compaction_agent"": 0.0, ""vr52_cupsd-native_compaction_agent"": 0.0}"
task_args.sample_idx,continuous,167,43,0.257,1,1,"{""agentic_eval-long_horizon_agent_A"": 0.0, ""agentic_eval-long_horizon_agent_B"": 0.0, ""be06-use-after-free"": 0.0, ""be07-heap-overflow"": 0.0, ""cybench-basic_cyber_agent_B"": 0.0, ""cybench-claude_code"": 0.0, ""cybench-lha"": 0.0, ""dev_make_rest_api"": 1.0, ""lha-be02_aslr_leak_provided"": 0.0, ""lha-cookie_injection"": 0.0, ""lha-lottery"": 0.0, ""lha-re09_simple_vm"": 0.0, ""mmlu_5_shot-refuse-sandbag-monitored"": 0.0, ""mmlu_5_shot-refuse-unmonitored"": 0.0, ""mmlu_5_shot_with_REFUSAL_1"": 0.0, ""mmlu_5_shot_with_refuse"": 0.0, ""mmlu_5_shot_with_refuse-aware"": 0.0, ""mmlu_5_shot_with_refuse-sandbag"": 0.0, ""online_compute_acqusition"": 0.0, ""re02-kernel-module"": 0.0, ""re04-python-nuitka"": 0.0, ""re04_python_nuitka-native_compaction_agent"": 0.0, ""re05-rtos-mips"": 0.0, ""re06-rtos-arm"": 0.0, ""re07-malware-packing"": 0.0, ""re09-simple-vm"": 0.0, ""re10-firmware-mips"": 0.0, ""re11-firmware-arm"": 0.0, ""re12-dynamic-loading-1"": 0.0, ""re13_vaultwarden-native_compaction_agent"": 0.0, ""re14-rust-vm"": 0.0, ""re15-unknown-format"": 0.0, ""re16_known_protocol-native_compaction_agent"": 0.0, ""vr16_libreoffice-native_compaction_agent"": 0.0, ""vr27_openssh-native_compaction_agent"": 0.0, ""vr29_nginx-native_compaction_agent"": 0.0, ""vr35_lighttpd-native_compaction_agent"": 0.0, ""vr52_cupsd-native_compaction_agent"": 0.0}"
token_limit,continuous,167,25,0.15,2,9,"{""agentic_eval-long_horizon_agent_A"": 0.0, ""agentic_eval-long_horizon_agent_B"": 0.0, ""be06-use-after-free"": 0.0, ""be07-heap-overflow"": 0.0, ""cybench-basic_cyber_agent_B"": 0.0, ""cybench-claude_code"": 1.0, ""cybench-lha"": 0.0, ""dev_make_rest_api"": 0.0, ""lha-be02_aslr_leak_provided"": 0.0, ""lha-cookie_injection"": 0.0, ""lha-lottery"": 0.0, ""lha-re09_simple_vm"": 0.0, ""mmlu_5_shot-refuse-sandbag-monitored"": 0.0, ""mmlu_5_shot-refuse-unmonitored"": 0.0, ""mmlu_5_shot_with_REFUSAL_1"": 0.0, ""mmlu_5_shot_with_refuse"": 0.0, ""mmlu_5_shot_with_refuse-aware"": 0.0, ""mmlu_5_shot_with_refuse-sandbag"": 0.0, ""online_compute_acqusition"": 0.0, ""re02-kernel-module"": 0.0, ""re04-python-nuitka"": 0.0, ""re04_python_nuitka-native_compaction_agent"": 1.0, ""re05-rtos-mips"": 0.0, ""re06-rtos-arm"": 0.0, ""re07-malware-packing"": 0.0, ""re09-simple-vm"": 0.0, ""re10-firmware-mips"": 0.0, ""re11-firmware-arm"": 0.0, ""re12-dynamic-loading-1"": 0.0, ""re13_vaultwarden-native_compaction_agent"": 1.0, ""re14-rust-vm"": 0.0, ""re15-unknown-format"": 0.0, ""re16_known_protocol-native_compaction_agent"": 1.0, ""vr16_libreoffice-native_compaction_agent"": 1.0, ""vr27_openssh-native_compaction_agent"": 1.0, ""vr29_nginx-native_compaction_agent"": 1.0, ""vr35_lighttpd-native_compaction_agent"": 1.0, ""vr52_cupsd-native_compaction_agent"": 1.0}"
